city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Belgrade,44.8200,20.4600,Serbia,RS,Beograd,primary,1378682,1378682
Novi Sad,45.2542,19.8425,Serbia,RS,Novi Sad,admin,380000,380000
Niš,43.3192,21.8961,Serbia,RS,Niš,admin,183164,183164
Zemun,44.8500,20.4000,Serbia,RS,Beograd,minor,161596,161596
Kragujevac,44.0142,20.9394,Serbia,RS,Kragujevac,admin,150623,150623
Valjevo,44.2667,19.8833,Serbia,RS,Valjevo,admin,90312,90312
Loznica,44.5333,19.2258,Serbia,RS,Loznica,admin,86413,86413
Sremska Mitrovica,44.9700,19.6125,Serbia,RS,Sremska Mitrovica,admin,79940,79940
Zrenjanin,45.3833,20.3894,Serbia,RS,Zrenjanin,admin,76511,76511
Pančevo,44.8706,20.6403,Serbia,RS,Pančevo,admin,76203,76203
Stara Pazova,44.9833,20.1667,Serbia,RS,Stara Pazova,admin,71931,71931
Čačak,43.8914,20.3497,Serbia,RS,Čačak,admin,71883,71883
Kraljevo,43.7234,20.6870,Serbia,RS,Kraljevo,admin,66688,66688
Novi Pazar,43.1500,20.5167,Serbia,RS,Novi Pazar,admin,66527,66527
Leskovac,42.9981,21.9461,Serbia,RS,Leskovac,admin,60288,20913
Užice,43.8500,19.8500,Serbia,RS,Užice,admin,59747,59747
Kruševac,43.5833,21.3267,Serbia,RS,Kruševac,admin,58745,58745
Vranje,42.5542,21.8972,Serbia,RS,Vranje,admin,55138,55138
Ruma,45.0000,19.8333,Serbia,RS,Ruma,admin,54339,54339
Mladenovac,44.4333,20.7000,Serbia,RS,Beograd,minor,53050,53050
Sombor,45.7833,19.1167,Serbia,RS,Sombor,admin,51471,51471
Batajnica,44.9022,20.2814,Serbia,RS,Beograd,,48600,48600
Inđija,45.0500,20.0833,Serbia,RS,Inđija,admin,47433,47433
Borča,44.8700,20.4500,Serbia,RS,Beograd,,46086,46086
Surčin,44.8000,20.2833,Serbia,RS,Beograd,minor,43819,43819
Kula,45.6000,19.5333,Serbia,RS,Kula,admin,43101,43101
Kikinda,45.8333,20.4500,Serbia,RS,Kikinda,admin,38065,38065
Bečej,45.6167,20.0333,Serbia,RS,Bečej,admin,37351,37351
Prijepolje,43.5439,19.6514,Serbia,RS,Prijepolje,admin,37059,37059
Vršac,45.1167,21.3033,Serbia,RS,Vršac,admin,35701,35701
Šid,45.1167,19.2333,Serbia,RS,Šid,admin,34188,34188
Bor,44.1303,22.1036,Serbia,RS,Bor,admin,34159,34159
Kovin,44.7500,20.9667,Serbia,RS,Kovin,admin,33722,33722
Subotica,46.1003,19.6656,Serbia,RS,Subotica,admin,29919,29919
Bačka Palanka,45.2500,19.4000,Serbia,RS,Bačka Palanka,admin,29449,29449
Apatin,45.6667,18.9833,Serbia,RS,Apatin,admin,28929,28929
Temerin,45.4167,19.8833,Serbia,RS,Temerin,admin,28287,28287
Bajina Bašta,43.9731,19.5597,Serbia,RS,Bajina Bašta,admin,26022,26022
Vrbas,45.5667,19.6500,Serbia,RS,Vrbas,admin,24112,24112
Ćuprija,43.9231,21.3686,Serbia,RS,Ćuprija,admin,20585,9609
Senta,45.9314,20.0900,Serbia,RS,Senta,admin,20302,20302
Pećinci,44.9000,19.9667,Serbia,RS,Pećinci,admin,19720,19720
Futog,45.2333,19.7167,Serbia,RS,,,18641,18641
Veternik,45.2533,19.7608,Serbia,RS,,,17454,17454
Trstenik,43.6186,20.9972,Serbia,RS,Trstenik,admin,17180,17180
Nova Pazova,44.9500,20.2167,Serbia,RS,,,17105,17105
Srbobran,45.5333,19.7833,Serbia,RS,Srbobran,admin,16317,16317
Bačka Topola,45.8167,19.6333,Serbia,RS,Bačka Topola,admin,16171,16171
Titel,45.2047,20.3000,Serbia,RS,Titel,admin,15738,15738
Petrovaradin,45.2500,19.8667,Serbia,RS,Novi Sad,minor,14810,14810
Niška Banja,43.2933,22.0061,Serbia,RS,Niš,minor,14098,14098
Sjenica,43.2667,20.0000,Serbia,RS,Sjenica,admin,14060,14060
