city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Kyiv,50.4500,30.5233,Ukraine,UA,"Kyiv, Misto",primary,2963199,2962180
Kharkiv,49.9925,36.2311,Ukraine,UA,Kharkivska Oblast,admin,1446107,1433886
Odesa,46.4775,30.7326,Ukraine,UA,Odeska Oblast,admin,1017699,1015826
Dnipro,48.4675,35.0400,Ukraine,UA,Dnipropetrovska Oblast,admin,980948,980948
Donetsk,48.0028,37.8053,Ukraine,UA,Donetska Oblast,admin,929063,929063
Zaporizhzhia,47.8500,35.1175,Ukraine,UA,Zaporizka Oblast,admin,741717,710052
Lviv,49.8425,24.0322,Ukraine,UA,Lvivska Oblast,admin,724314,724314
Kryvyi Rih,47.9086,33.3433,Ukraine,UA,Dnipropetrovska Oblast,minor,629695,603237
Sevastopol,44.6050,33.5225,Ukraine,UA,"Sevastopol, Misto",admin,522057,522057
Mykolaiv,46.9750,31.9950,Ukraine,UA,Mykolaivska Oblast,admin,498748,470011
Mariupol,47.0958,37.5494,Ukraine,UA,Donetska Oblast,minor,449498,449498
Luhansk,48.5667,39.3333,Ukraine,UA,Luhanska Oblast,admin,417990,417990
Vinnytsia,49.2333,28.4833,Ukraine,UA,Vinnytska Oblast,admin,371855,370601
Makiivka,48.0556,37.9611,Ukraine,UA,Donetska Oblast,minor,343158,343158
Simferopol,44.9484,34.1000,Ukraine,UA,"Krym, Avtonomna Respublika",admin,341799,340540
Poltava,49.5894,34.5514,Ukraine,UA,Poltavska Oblast,admin,317847,283402
Chernihiv,51.4939,31.2947,Ukraine,UA,Chernihivska Oblast,admin,294522,286899
Kherson,46.6425,32.6250,Ukraine,UA,Khersonska Oblast,admin,291428,283649
Cherkasy,49.4444,32.0597,Ukraine,UA,Cherkaska Oblast,admin,276360,269836
Khmelnytskyi,49.4167,27.0000,Ukraine,UA,Khmelnytska Oblast,admin,274176,274176
Chernivtsi,48.3000,25.9333,Ukraine,UA,Chernivetska Oblast,admin,266550,265471
Sumy,50.9167,34.7500,Ukraine,UA,Sumska Oblast,admin,265758,265758
Zhytomyr,50.2500,28.6667,Ukraine,UA,Zhytomyrska Oblast,admin,264452,263507
Horlivka,48.3336,38.0925,Ukraine,UA,Donetska Oblast,minor,256714,256714
Rivne,50.6192,26.2519,Ukraine,UA,Rivnenska Oblast,admin,246574,245289
Ivano-Frankivsk,48.9228,24.7106,Ukraine,UA,Ivano-Frankivska Oblast,admin,238196,238196
Kamianske,48.5167,34.6167,Ukraine,UA,Dnipropetrovska Oblast,minor,235066,229794
Kropyvnytskyi,48.5000,32.2667,Ukraine,UA,Kirovohradska Oblast,admin,227413,227413
Ternopil,49.5667,25.6000,Ukraine,UA,Ternopilska Oblast,admin,225238,225238
Kremenchuk,49.0631,33.4039,Ukraine,UA,Poltavska Oblast,minor,220174,220174
Lutsk,50.7500,25.3358,Ukraine,UA,Volynska Oblast,admin,217197,217197
Bila Tserkva,49.7956,30.1167,Ukraine,UA,Kyivska Oblast,minor,208944,208944
Kramatorsk,48.7392,37.5839,Ukraine,UA,Donetska Oblast,minor,159445,147145
Melitopol,46.8489,35.3675,Ukraine,UA,Zaporizka Oblast,minor,154992,154992
Sievierodonetsk,48.9481,38.4933,Ukraine,UA,Luhanska Oblast,minor,150000,150000
Kerch,45.3619,36.4711,Ukraine,UA,"Krym, Avtonomna Respublika",minor,149566,149566
Drohobych,49.3500,23.5000,Ukraine,UA,Lvivska Oblast,minor,124269,74610
Khrustalnyi,48.1214,38.9453,Ukraine,UA,Luhanska Oblast,,124000,124000
Uzhhorod,48.6239,22.2950,Ukraine,UA,Zakarpatska Oblast,admin,114897,114897
Berdiansk,46.7556,36.7889,Ukraine,UA,Zaporizka Oblast,minor,114205,107928
Sloviansk,48.8533,37.6059,Ukraine,UA,Donetska Oblast,,113196,113196
Nikopol,47.5667,34.4000,Ukraine,UA,Dnipropetrovska Oblast,minor,110669,107464
Brovary,50.5111,30.7900,Ukraine,UA,Kyivska Oblast,minor,109473,109473
Yevpatoriia,45.1939,33.3681,Ukraine,UA,"Krym, Avtonomna Respublika",minor,108248,108248
Pavlohrad,48.5200,35.8700,Ukraine,UA,Dnipropetrovska Oblast,minor,106082,103037
Alchevsk,48.4778,38.7978,Ukraine,UA,Luhanska Oblast,minor,105398,105398
Konotop,51.2369,33.2027,Ukraine,UA,Sumska Oblast,minor,103547,84787
Kamianets-Podilskyi,48.6806,26.5806,Ukraine,UA,Khmelnytska Oblast,minor,100462,100462
Lysychansk,48.9169,38.4306,Ukraine,UA,Luhanska Oblast,,96161,96161
Dovzhansk,48.0778,39.6472,Ukraine,UA,Luhanska Oblast,minor,95153,95153
Mukacheve,48.4414,22.7136,Ukraine,UA,Zakarpatska Oblast,minor,86257,86257
Uman,48.7500,30.2167,Ukraine,UA,Cherkaska Oblast,minor,82762,82154
Chervonohrad,50.3822,24.2275,Ukraine,UA,Lvivska Oblast,minor,82395,82395
Yalta,44.4994,34.1700,Ukraine,UA,"Krym, Avtonomna Respublika",,79458,79272
Yenakiieve,48.2311,38.2053,Ukraine,UA,Donetska Oblast,,79348,79348
Bakhmut,48.5947,38.0008,Ukraine,UA,Donetska Oblast,minor,75798,71094
Stakhanov,48.5681,38.6586,Ukraine,UA,Luhanska Oblast,,75745,75745
Nizhyn,51.0474,31.8805,Ukraine,UA,Chernihivska Oblast,minor,73283,66981
Kostiantynivka,48.5333,37.7167,Ukraine,UA,Donetska Oblast,,72888,72888
Fedosiia,45.0489,35.3792,Ukraine,UA,"Krym, Avtonomna Respublika",,69145,69145
Kovel,51.2167,24.7167,Ukraine,UA,Volynska Oblast,minor,69089,67991
Smila,49.2167,31.8667,Ukraine,UA,Cherkaska Oblast,minor,68536,21341
Korosten,50.9500,28.6500,Ukraine,UA,Zhytomyrska Oblast,minor,63525,63525
Pokrovsk,48.2828,37.1828,Ukraine,UA,Donetska Oblast,minor,63437,63437
Pervomaisk,48.0500,30.8500,Ukraine,UA,Mykolaivska Oblast,minor,63377,63377
Kolomyia,48.5167,25.0333,Ukraine,UA,Ivano-Frankivska Oblast,minor,61269,61269
Rubizhne,49.0336,38.3722,Ukraine,UA,Luhanska Oblast,,59951,59951
Chornomorsk,46.3017,30.6569,Ukraine,UA,Odeska Oblast,,59800,57983
Khartsyzk,48.0333,38.1500,Ukraine,UA,Donetska Oblast,,59763,59763
Druzhkivka,48.6203,37.5278,Ukraine,UA,Donetska Oblast,,59400,59400
Stryi,49.2500,23.8500,Ukraine,UA,Lvivska Oblast,minor,59325,55100
Bilhorod-Dnistrovskyi,46.1833,30.3500,Ukraine,UA,Odeska Oblast,minor,57210,57210
Irpin,50.5167,30.2500,Ukraine,UA,Kyivska Oblast,,56806,56806
Novohrad-Volynskyi,50.5833,27.6333,Ukraine,UA,Zhytomyrska Oblast,minor,56288,55463
Lozova,48.8892,36.3161,Ukraine,UA,Kharkivska Oblast,minor,55827,54026
Antratsyt,48.1167,39.0833,Ukraine,UA,Luhanska Oblast,,54640,52353
Chystiakove,48.0219,38.6264,Ukraine,UA,Donetska Oblast,,53462,53462
Horishni Plavni,49.0167,33.6667,Ukraine,UA,Poltavska Oblast,,52167,52167
Myrnohrad,48.2911,37.2681,Ukraine,UA,Donetska Oblast,,50360,50360
